	_user_id	applied_count	hits@10_count	hits@15_count	hits@20_count	hits@25_count	hits@3_count	hits@5_count	recall@10	recall@15	recall@20	recall@25	recall@3	recall@5
555	1127206	493	176	215	244	272	88	123	0.35699797160243407	0.43610547667342797	0.4949290060851927	0.5517241379310345	0.17849898580121704	0.24949290060851928
176	447922	323	186	210	231	243	83	125	0.5758513931888545	0.6501547987616099	0.7151702786377709	0.7523219814241486	0.25696594427244585	0.38699690402476783
141	296500	258	50	72	85	92	16	25	0.1937984496124031	0.27906976744186046	0.32945736434108525	0.35658914728682173	0.06201550387596899	0.09689922480620156
370	853630	104	75	82	87	87	37	58	0.7211538461538461	0.7884615384615384	0.8365384615384616	0.8365384615384616	0.3557692307692308	0.5576923076923077
710	1364895	63	21	32	41	46	10	12	0.3333333333333333	0.5079365079365079	0.6507936507936508	0.7301587301587301	0.15873015873015872	0.19047619047619047
321	783474	58	10	14	19	23	1	1	0.1724137931034483	0.2413793103448276	0.3275862068965517	0.39655172413793105	0.017241379310344827	0.017241379310344827
543	1106267	50	27	30	33	37	12	19	0.54	0.6	0.66	0.74	0.24	0.38
340	814579	48	18	25	28	29	9	11	0.375	0.5208333333333334	0.5833333333333334	0.6041666666666666	0.1875	0.22916666666666666
368	851748	46	12	16	19	23	4	7	0.2608695652173913	0.34782608695652173	0.41304347826086957	0.5	0.08695652173913043	0.15217391304347827
439	943352	42	13	22	26	28	3	6	0.30952380952380953	0.5238095238095238	0.6190476190476191	0.6666666666666666	0.07142857142857142	0.14285714285714285
222	605733	40	33	38	38	38	21	26	0.825	0.95	0.95	0.95	0.525	0.65
579	1158179	40	15	21	22	25	6	9	0.375	0.525	0.55	0.625	0.15	0.225
62	184821	39	21	28	30	30	10	17	0.5384615384615384	0.717948717948718	0.7692307692307693	0.7692307692307693	0.2564102564102564	0.4358974358974359
688	1334505	38	6	11	17	18	3	4	0.15789473684210525	0.2894736842105263	0.4473684210526316	0.47368421052631576	0.07894736842105263	0.10526315789473684
173	437691	36	9	12	13	15	3	4	0.25	0.3333333333333333	0.3611111111111111	0.4166666666666667	0.08333333333333333	0.1111111111111111
451	963804	33	10	15	20	21	5	8	0.30303030303030304	0.45454545454545453	0.6060606060606061	0.6363636363636364	0.15151515151515152	0.24242424242424243
117	265804	32	26	30	32	32	19	22	0.8125	0.9375	1.0	1.0	0.59375	0.6875
424	917105	32	20	20	22	23	14	16	0.625	0.625	0.6875	0.71875	0.4375	0.5
387	871149	31	24	27	28	29	16	20	0.7741935483870968	0.8709677419354839	0.9032258064516129	0.9354838709677419	0.5161290322580645	0.6451612903225806
770	1463327	31	21	23	23	24	11	16	0.6774193548387096	0.7419354838709677	0.7419354838709677	0.7741935483870968	0.3548387096774194	0.5161290322580645
269	705944	29	14	15	17	19	8	11	0.4827586206896552	0.5172413793103449	0.5862068965517241	0.6551724137931034	0.27586206896551724	0.3793103448275862
526	1088778	27	15	18	19	20	5	11	0.5555555555555556	0.6666666666666666	0.7037037037037037	0.7407407407407407	0.18518518518518517	0.4074074074074074
605	1206168	27	8	8	10	11	2	2	0.2962962962962963	0.2962962962962963	0.37037037037037035	0.4074074074074074	0.07407407407407407	0.07407407407407407
754	1437624	27	14	15	17	21	10	12	0.5185185185185185	0.5555555555555556	0.6296296296296297	0.7777777777777778	0.37037037037037035	0.4444444444444444
684	1321190	27	16	18	21	23	11	13	0.5925925925925926	0.6666666666666666	0.7777777777777778	0.8518518518518519	0.4074074074074074	0.48148148148148145
214	564326	27	3	8	10	14	1	1	0.1111111111111111	0.2962962962962963	0.37037037037037035	0.5185185185185185	0.037037037037037035	0.037037037037037035
675	1312055	27	16	17	19	20	7	13	0.5925925925925926	0.6296296296296297	0.7037037037037037	0.7407407407407407	0.25925925925925924	0.48148148148148145
299	749389	26	16	17	18	20	13	14	0.6153846153846154	0.6538461538461539	0.6923076923076923	0.7692307692307693	0.5	0.5384615384615384
172	433226	25	9	12	16	17	6	7	0.36	0.48	0.64	0.68	0.24	0.28
742	1409963	24	9	9	13	14	5	7	0.375	0.375	0.5416666666666666	0.5833333333333334	0.20833333333333334	0.2916666666666667
502	1042723	24	3	5	10	15	0	1	0.125	0.20833333333333334	0.4166666666666667	0.625	0.0	0.041666666666666664
761	1448156	23	7	8	12	18	5	5	0.30434782608695654	0.34782608695652173	0.5217391304347826	0.782608695652174	0.21739130434782608	0.21739130434782608
